enter_cat,following_cat,nb_cus_cross,nb_cus_enter,nb_cus_follow,nb_customer_tot,confidence,expected,lift
PRODUCT > SPECIALTY FAT,PRODUCT > PORK,3,26,406,11811,12.0,3.0,3.4
PRODUCT > SALAD DRESSING,PRODUCT > PORK,1,5,406,11811,20.0,3.0,5.8
PRODUCT > SOAP,PRODUCT > SODA,2,11,1005,11811,18.0,9.0,2.1
PRODUCT > SNACK PRODUCTS,PRODUCT > SODA,5,21,1005,11811,24.0,9.0,2.8
PRODUCT > MISC. BEVERAGES,PRODUCT > SODA,19,165,1005,11811,12.0,9.0,1.4
PRODUCT > FLOWER (SEEDS),PRODUCT > SODA,5,43,1005,11811,12.0,9.0,1.4
PRODUCT > TOILET CLEANER,PRODUCT > CANDY,1,4,167,11811,25.0,1.0,17.7
PRODUCT > SYRUP,PRODUCT > COFFEE,3,21,346,11811,14.0,3.0,4.9
PRODUCT > FROZEN FRUITS,PRODUCT > ONIONS,1,7,220,11811,14.0,2.0,7.7
PRODUCT > BAGS,PRODUCT > PASTRY,1,2,578,11811,50.0,5.0,10.2
PRODUCT > SALAD DRESSING,PRODUCT > TURKEY,1,5,61,11811,20.0,1.0,38.7
PRODUCT > CURD,PRODUCT > YOGURT,44,376,986,11811,12.0,8.0,1.4
PRODUCT > KITCHEN UTENSIL,PRODUCT > CANDLES,1,2,45,11811,50.0,0.0,131.2
PRODUCT > LIGHT BULBS,PRODUCT > NAPKINS,3,21,293,11811,14.0,2.0,5.8
PRODUCT > CREAM,PRODUCT > SAUSAGE,3,8,663,11811,38.0,6.0,6.7
PRODUCT > DECALCIFIER,PRODUCT > WAFFLES,2,6,230,11811,33.0,2.0,17.1
PRODUCT > LIQUEUR,PRODUCT > CAKE BAR,1,4,68,11811,25.0,1.0,43.4
PRODUCT > FROZEN FRUITS,PRODUCT > ICE CREAM,1,7,149,11811,14.0,1.0,11.3
PRODUCT > SPECIALTY FAT,PRODUCT > MARGARINE,5,26,377,11811,19.0,3.0,6.0
PRODUCT > ORGANIC SAUSAGE,PRODUCT > PIP FRUIT,3,16,513,11811,19.0,4.0,4.3
PRODUCT > FLOWER SOIL/FERTILIZER,PRODUCT > NEWSPAPERS,1,5,394,11811,20.0,3.0,6.0
PRODUCT > COOKWARE,PRODUCT > NEWSPAPERS,2,10,394,11811,20.0,3.0,6.0
PRODUCT > KITCHEN UTENSIL,PRODUCT > POT PLANTS,1,2,88,11811,50.0,1.0,67.1
PRODUCT > MEAT SPREADS,PRODUCT > ROLLS/BUNS,6,30,1158,11811,20.0,10.0,2.0
PRODUCT > READY SOUPS,PRODUCT > ROLLS/BUNS,2,13,1158,11811,15.0,10.0,1.6
PRODUCT > LIQUEUR,PRODUCT > ROLLS/BUNS,1,4,1158,11811,25.0,10.0,2.5
PRODUCT > TEA,PRODUCT > ROLLS/BUNS,3,25,1158,11811,12.0,10.0,1.2
PRODUCT > SNACK PRODUCTS,PRODUCT > ROLLS/BUNS,3,21,1158,11811,14.0,10.0,1.5
PRODUCT > SPREAD CHEESE,PRODUCT > ROLLS/BUNS,10,81,1158,11811,12.0,10.0,1.3
PRODUCT > FLOWER SOIL/FERTILIZER,PRODUCT > WHITE WINE,1,5,115,11811,20.0,1.0,20.5
PRODUCT > FLOWER SOIL/FERTILIZER,PRODUCT > WHOLE MILK,1,5,1691,11811,20.0,14.0,1.4
PRODUCT > NUTS/PRUNES,PRODUCT > WHOLE MILK,5,22,1691,11811,23.0,14.0,1.6
PRODUCT > BUTTER,PRODUCT > WHOLE MILK,60,402,1691,11811,15.0,14.0,1.0
PRODUCT > LIQUEUR,PRODUCT > CANNED BEER,1,4,312,11811,25.0,3.0,9.5
PRODUCT > TOILET CLEANER,PRODUCT > DENTAL CARE,1,4,36,11811,25.0,0.0,82.0
PRODUCT > PROSECCO,PRODUCT > BOTTLED BEER,4,16,416,11811,25.0,4.0,7.1
PRODUCT > LIQUOR,PRODUCT > BOTTLED BEER,18,63,416,11811,29.0,4.0,8.1
PRODUCT > NUT SNACK,PRODUCT > BOTTLED BEER,4,20,416,11811,20.0,4.0,5.7
PRODUCT > RED/BLUSH WINE,PRODUCT > BOTTLED BEER,17,118,416,11811,14.0,4.0,4.1
PRODUCT > WHITE WINE,PRODUCT > BOTTLED WATER,13,106,678,11811,12.0,6.0,2.1
