customer,product
1,citrus fruit
1,semi-finished bread
1,margarine
1,ready soups
2,tropical fruit
2,yogurt
2,coffee
3,whole milk
4,pip fruit
4,yogurt
4,cream cheese 
4,meat spreads
5,other vegetables
5,whole milk
5,condensed milk
5,long life bakery product
6,whole milk
6,butter
6,yogurt
6,rice
7,abrasive cleaner
8,rolls/buns
9,other vegetables
9,UHT-milk
9,rolls/buns
9,bottled beer
10,liquor (appetizer)
11,pot plants
12,whole milk
12,cereals
13,tropical fruit
13,other vegetables
13,white bread
13,bottled water
14,chocolate
15,citrus fruit
15,tropical fruit
15,whole milk
15,butter
16,curd
16,yogurt
16,flour
16,bottled water
17,dishes
18,beef
19,frankfurter
19,rolls/buns
19,soda
20,chicken
20,tropical fruit
21,butter
21,sugar
21,fruit/vegetable juice
21,newspapers
22,fruit/vegetable juice
23,packaged fruit/vegetables
24,chocolate
25,specialty bar
26,other vegetables
27,butter milk
27,pastry
28,whole milk
29,tropical fruit
29,cream cheese 
29,processed cheese
29,detergent
30,newspapers
31,tropical fruit
31,root vegetables
31,other vegetables
31,frozen dessert
32,rolls/buns
32,flour
32,sweet spreads
32,salty snack
33,waffles
33,candy
33,bathroom cleaner
34,bottled water
34,canned beer
35,yogurt
36,sausage
36,rolls/buns
36,soda
36,chocolate
37,other vegetables
38,brown bread
38,soda
38,fruit/vegetable juice
38,canned beer
39,newspapers
39,shopping bags
40,yogurt
40,beverages
40,bottled water
40,specialty bar
41,hamburger meat
41,other vegetables
41,rolls/buns
41,spices
42,bottled water
42,hygiene articles
42,napkins
43,root vegetables
43,other vegetables
43,whole milk
43,beverages
44,sugar
45,pork
45,berries
45,other vegetables
45,whole milk
46,whipped/sour cream
46,artif. sweetener
46,soda
46,abrasive cleaner
47,beef
47,grapes
47,detergent
48,pastry
48,soda
49,fruit/vegetable juice
50,canned beer
51,root vegetables
51,other vegetables
51,whole milk
51,dessert
52,citrus fruit
52,zwieback
52,newspapers
53,sausage
53,rolls/buns
53,soda
53,canned beer
54,specialty bar
54,shopping bags
55,tropical fruit
55,root vegetables
55,whole milk
55,yogurt
56,domestic eggs
56,brown bread
56,pastry
56,sugar
57,cereals
57,coffee
57,soda
57,waffles
58,candy
59,berries
59,yogurt
60,canned beer
61,butter milk
61,yogurt
61,cream cheese 
61,spread cheese
62,rolls/buns
62,bottled water
62,soda
62,newspapers
63,coffee
64,pastry
64,bottled water
65,rolls/buns
66,misc. beverages
67,root vegetables
67,other vegetables
67,butter
67,curd
68,whipped/sour cream
68,UHT-milk
68,hard cheese
68,rolls/buns
69,bottled water
69,long life bakery product
70,sausage
70,rolls/buns
70,cat food
70,newspapers
71,canned beer
72,ham
72,grapes
72,other vegetables
72,whole milk
73,turkey
73,tropical fruit
73,other vegetables
73,curd
74,domestic eggs
74,brown bread
74,semi-finished bread
74,margarine
75,baking powder
75,fruit/vegetable juice
76,whole milk
76,yogurt
76,processed cheese
76,pickled vegetables
77,soda
78,whole milk
78,curd
78,yogurt
78,pastry
79,packaged fruit/vegetables
79,brown bread
79,canned beer
80,rolls/buns
80,oil
80,bottled water
80,chewing gum
81,chocolate marshmallow
81,hygiene articles
81,napkins
82,ham
82,beef
82,whipped/sour cream
82,ice cream
83,rolls/buns
83,cat food
84,rolls/buns
84,pastry
84,sugar
85,other vegetables
85,whole milk
85,frozen vegetables
85,canned fish
86,salty snack
86,seasonal products
86,detergent
87,sausage
87,pastry
88,sausage
88,beef
88,whole milk
89,frankfurter
89,tropical fruit
89,rolls/buns
89,brown bread
90,sugar
91,rolls/buns
91,pastry
91,soda
92,whole milk
93,curd cheese
93,coffee
94,red/blush wine
94,newspapers
95,sausage
95,whole milk
95,curd
96,tropical fruit
96,pip fruit
96,berries
96,whole milk
97,frozen potato products
97,rolls/buns
97,pickled vegetables
97,chocolate
98,red/blush wine
99,whole milk
99,butter
99,margarine
99,specialty fat
100,specialty chocolate
100,candles
100,flower (seeds)
101,frankfurter
101,citrus fruit
101,whole milk
101,domestic eggs
102,oil
102,sparkling wine
102,specialty chocolate
102,newspapers
103,whole milk
103,meat spreads
103,soda
104,frozen potato products
105,other vegetables
105,whole milk
105,rolls/buns
105,sugar
106,citrus fruit
106,whole milk
106,curd
106,butter milk
107,pastry
108,flour
108,salt
108,bottled water
108,fruit/vegetable juice
109,bottled beer
110,sugar
110,bottled water
110,soda
110,bottled beer
111,frozen meals
111,coffee
112,chocolate
113,root vegetables
113,whole milk
113,frozen vegetables
113,domestic eggs
114,rolls/buns
114,oil
114,margarine
114,canned vegetables
115,fruit/vegetable juice
115,bathroom cleaner
116,root vegetables
116,onions
116,hard cheese
116,frozen vegetables
117,herbs
117,condensed milk
117,frozen vegetables
117,salt
118,oil
118,white wine
118,candles
119,bottled water
120,sausage
120,root vegetables
120,onions
120,yogurt
121,rolls/buns
121,brandy
121,detergent
122,coffee
122,newspapers
123,pork
123,other vegetables
123,whipped/sour cream
124,berries
124,yogurt
125,soda
126,berries
127,fruit/vegetable juice
127,salty snack
127,candles
128,citrus fruit
128,butter milk
128,yogurt
128,cream cheese 
129,pork
129,hamburger meat
129,citrus fruit
129,berries
130,onions
130,whipped/sour cream
130,rice
130,coffee
131,chocolate
132,detergent
133,grapes
133,photo/film
134,sausage
134,sliced cheese
134,rolls/buns
134,brown bread
135,fruit/vegetable juice
135,canned beer
135,red/blush wine
135,waffles
136,shopping bags
137,chicken
137,hamburger meat
137,citrus fruit
137,tropical fruit
138,root vegetables
138,other vegetables
138,butter
138,pasta
139,oil
139,detergent
140,whole milk
140,yogurt
140,brown bread
141,citrus fruit
141,tropical fruit
142,soda
142,misc. beverages
143,sausage
143,pork
143,grapes
143,whole milk
144,rolls/buns
144,pastry
144,soda
144,specialty bar
145,bathroom cleaner
146,frankfurter
146,rolls/buns
146,bottled water
147,sausage
147,whole milk
147,yogurt
147,coffee
148,fruit/vegetable juice
148,bottled beer
148,softener
148,napkins
149,photo/film
149,shopping bags
150,soda
151,rolls/buns
151,fruit/vegetable juice
152,beef
152,citrus fruit
